account	year	gfcf	volume
324	2016	529.6690497484627	537.1212239401483
324	2017	522.7919236205985	522.7919236205985
324	2018	545.5995020479754	536.4565870142329
324	2019	624.0621824498122	590.0824850030506
324	2020	561.8375734926649	549.1855558140628
324	2021	541.3800237126475	518.7416217561573
324	2022	614.7033937317074	577.8801140746624
324	2023	644.6269638227174	610.3590542515965
325	1997	1889.8119916331557	2198.2516216719573
325	1998	2012.39427373143	2252.207815777669
325	1999	2163.425012888792	2342.669346579895
325	2000	2535.5684857346832	2518.2977683114023
325	2001	2723.722357215805	2562.1705590101797
325	2002	2767.477876557447	2660.1587303085794
325	2003	2955.1554224098736	2803.9817134417162
325	2004	3099.6809569725915	2948.761737576191
325	2005	3344.7579354831623	3195.1193995669432
325	2006	3444.2620413417476	3288.840016663182
325	2007	3682.6448158923035	3533.066013769345
325	2008	3696.388958346745	3493.2506475072437
325	2009	3573.733920221807	3529.4207841706952
325	2010	3803.648025767451	3808.95245366274
325	2011	3739.8225920511936	3789.4972054905384
325	2012	4024.5704173859335	4032.170257789128
325	2013	4178.656810601993	4261.497755723455
325	2014	4436.969168515851	4541.858990432571
325	2015	4505.929437292726	4581.100190588428
325	2016	4408.894835055006	4470.925743448192
325	2017	4627.621372924753	4627.621372924753
325	2018	4747.823842672606	4668.261911575177
325	2019	4914.907611162272	4647.294738114142
325	2020	5170.771152443504	5054.33058114808
325	2021	5413.349521657928	5186.984349256749
325	2022	6300.89501536758	5923.445302861475
325	2023	6574.99019865693	6225.468409772306
326	1997	542.6348156674574	631.199224471957
326	1998	590.2142600874037	660.549071771851
326	1999	640.2417209971501	693.2871004291565
326	2000	669.0170987875182	664.460169905688
326	2001	687.1714369604538	646.4133248047117
326	2002	709.671446307355	682.1513225224294
326	2003	728.4930016350472	691.2262683257353
326	2004	721.0732198623159	685.9651526193065
326	2005	722.2076287197112	689.8973407186962
326	2006	772.4949200888292	737.636154091065
326	2007	793.9811717814412	761.731862244248
326	2008	798.2452748901833	754.3770027456497
326	2009	677.4773630294943	669.076864495006
326	2010	723.5364672548038	724.5454846492012
326	2011	782.9243512795765	793.3236318723848
326	2012	836.8278629256376	838.4080957315309
326	2013	884.3043465431477	901.8354842180071
326	2014	968.0877459645656	990.9733120835532
326	2015	1021.6305271149444	1038.6740111245958
326	2016	1107.045907069944	1122.6214800463067
326	2017	1171.2115749918496	1171.2115749918496
326	2018	1268.8563482221195	1247.5934149931238
326	2019	1253.0969520281865	1184.8668036570318
326	2020	1247.502635071236	1219.4101290914273
326	2021	1342.02768727675	1285.9093214512761
326	2022	1521.9861655631905	1430.8128895081247
326	2023	1595.0642441043326	1510.2717666799358
327	1997	377.0741855552381	438.6171447515818
327	1998	404.06814210562	452.22024313834436
327	1999	435.97401915658696	472.095387868141
327	2000	490.1020242793439	486.76375374256753
327	2001	477.1471974276521	448.84622631398594
327	2002	483.78372337132816	465.02322790319687
327	2003	498.29683578417985	472.80600025609067
327	2004	499.69956537847713	475.36987810211434
327	2005	509.3158888746303	486.5299996114487
327	2006	534.3195501648221	510.20842699383167
327	2007	543.678673138183	521.5959557615673
327	2008	541.9920848909528	512.2064325005261
327	2009	446.67934581400226	441.14066748367804
327	2010	475.8654817556537	476.52910628629627
327	2011	482.4654049963349	488.8738059033697
327	2012	506.652885668913	507.6096290406448
327	2013	490.14958472210066	499.8666916034915
327	2014	529.862981432054	542.3889268808161
327	2015	568.2713686208796	577.7516295637312
327	2016	603.6701989484062	612.1635316795323
327	2017	619.3288017388148	619.3288017388148
327	2018	639.1912327953155	628.4799489509861
327	2019	686.0725150460178	648.7164035183378
327	2020	651.0933172421123	636.4313498892391
327	2021	678.923725604677	650.5337822657361
327	2022	801.2187359040412	753.2224146220809
327	2023	857.9279226564133	812.3210862656626
331	1997	503.59910554254435	585.7924255601506
331	1998	529.3736253997812	592.458163966662
331	1999	551.3595460964568	597.0408495275958
331	2000	566.1839489701431	562.3274556246567
331	2001	512.2714984766143	481.8872041563289
331	2002	444.7119088413592	427.46656686849866
331	2003	458.8495445529242	435.37667169405836
331	2004	501.9061505638266	477.46902767769393
331	2005	528.9168515589616	505.2540500004191
331	2006	565.7243265175164	540.1960655484356
331	2007	546.4973040489123	524.3001017147917
331	2008	550.7095410734078	520.4448132004828
331	2009	439.20891474093736	433.76286732155694
331	2010	488.0165115654678	488.6970814761885
331	2011	583.2980455481529	591.0457673235429
331	2012	619.5713133360919	620.7412874231177
331	2013	608.3824302085671	620.4434770468475
331	2014	625.1901281294842	639.9696045497643
331	2015	688.7083671531403	700.1978339724564
331	2016	650.0526128056654	659.198522514169
331	2017	684.2941197412922	684.2941197412922
331	2018	755.4401532921564	742.7808214769665
331	2019	747.714718408912	707.0022371489714
331	2020	680.5207993406547	665.1961546566215
331	2021	823.2559087098249	788.8305561698118
331	2022	907.1666995326863	852.8236563461861
331	2023	1013.1667389641889	959.3075178335628
332	1997	1223.3891104377813	1423.0606578126258
332	1998	1313.0914579412452	1469.570293957639
332	1999	1382.7356433200243	1497.2982131254314
332	2000	1503.2310066081643	1492.991930802045
332	2001	1520.0505647642058	1429.8919986935616
332	2002	1547.4173651044193	1487.410558213426
332	2003	1663.1104431966728	1578.0324902013317
332	2004	1712.652426414677	1629.2657260155825
332	2005	1828.0915839118263	1746.3060097644975
332	2006	1937.2369841029833	1849.8193338959177
332	2007	2044.2587100779392	1961.2266001760263
332	2008	2117.330267067085	2000.9705173794525
332	2009	1830.1704632489123	1807.4769458955996
