account	component	year	tot_emp	labor	gfcf
561	43-3031	2008	0.0032548601119208238	1075.6639112197777	2075.094238371872
561	43-3031	2009	0.0037500969390364836	1113.90294020326	2163.635506116612
561	43-3031	2010	0.003184400754011776	1017.6237904368407	1985.285002817423
561	43-3031	2011	0.00330207670428718	1125.1471668999502	2243.027116027529
561	43-3031	2012	0.0032002128687067953	1185.6303517134666	2392.056527491823
561	43-3031	2013	0.0032622018353491754	1239.9070369058402	2538.481257035994
561	43-3031	2014	0.003050968221246859	1240.497251299675	2583.619991901693
561	43-3031	2015	0.0029956664720164733	1279.2428089501782	2696.6661933511596
561	43-3031	2016	0.002836282264403499	1250.3907748804115	2675.7110045840477
561	43-3031	2017	0.0029060507067590275	1346.479814190035	2912.440275898383
561	43-3031	2018	0.0028372862082136356	1373.8340173035044	2994.2444689841673
561	43-3031	2019	0.002795005345245251	1384.252493726924	3028.396787825417
561	43-3031	2020	0.0028459593273256955	1342.5498365475605	2934.8201126106273
561	43-3031	2021	0.002891816673175744	1542.610179345379	3357.5026703879125
561	43-3031	2022	0.0029196496305326568	1724.0634587296015	3765.6579266426106
561	43-3031	2023	0.002814103770332199	1677.1804165836036	3680.380707655439
561	43-3051	1997	0.0007078036984476703	129.2617756366903	196.4336382256335
561	43-3051	1998	0.0007078036984476703	143.36941454393852	223.29510308618129
561	43-3051	1999	0.0007078036984476703	153.81965874746322	246.45377167599864
561	43-3051	2000	0.0008076608480837374	198.4010566569825	330.64267393007685
561	43-3051	2001	0.000751675863090641	189.40085661783834	323.3430459074182
561	43-3051	2002	0.0006871311038946429	178.63215899737895	316.4963691787855
561	43-3051	2003	0.0007256862501552602	188.1284714732377	341.2964142080609
561	43-3051	2004	0.0007464804012384315	206.9316277556648	381.47615162060356
561	43-3051	2005	0.0007593774134967959	228.60894237525974	426.79460389161216
561	43-3051	2006	0.0007590868116314452	239.98052769527692	453.4882930106063
561	43-3051	2007	0.0007247998025026617	246.3402502062397	470.05454617234096
561	43-3051	2008	0.0007346989521506748	249.76170690059266	481.82250380383937
561	43-3051	2009	0.000869233777355371	259.1510976697825	503.37286681828834
561	43-3051	2010	0.0007262603643406161	230.399657874718	449.4873151860851
561	43-3051	2011	0.0007117160408847098	243.66061220892334	485.74744386400994
561	43-3051	2012	0.0006135707904734414	237.9534678195945	480.0806129115828
561	43-3051	2013	0.000637119260554319	255.3798283961997	522.843155585746
561	43-3051	2014	0.000610066863936833	260.28993431958423	542.1134769095901
561	43-3051	2015	0.0006118572701847128	278.2221900749225	586.4972380269869
561	43-3051	2016	0.0005893448473854443	275.50364810069055	589.5502092908291
561	43-3051	2017	0.0005985121520078453	301.3259514585484	651.7690261321796
561	43-3051	2018	0.0005650933548654388	294.6487064917557	642.1811140169009
561	43-3051	2019	0.0005320048809108153	287.96863090717216	630.0030383082712
561	43-3051	2020	0.0005348429755879364	274.3849138446195	599.806682647193
561	43-3051	2021	0.0006837611049579456	390.68662459106616	850.3323800871002
561	43-3051	2022	0.0007535545187369846	476.47585579027213	1040.7071004988252
561	43-3051	2023	0.0007507003848756605	479.93900136329813	1053.1712772242777
561	43-3061	1997	1.1427731796051104e-5	2.1589526916700423	3.280868840713919
561	43-3061	1998	1.1427731796051104e-5	2.394580933985997	3.729513705580057
561	43-3061	1999	1.1427731796051104e-5	2.5691227329105426	4.116313822174532
561	43-3061	2000	1.54158730107993e-5	4.10296408370618	6.837740879682631
561	43-3061	2001	2.1813415696585e-5	6.275898893256127	10.714145121565982
561	43-3061	2002	3.1724127586491376e-5	9.569425301406106	16.95488863831667
561	43-3061	2003	3.889268413861632e-5	12.004630995161849	21.778402176209276
561	43-3061	2004	3.817940565305561e-5	12.629513662032696	23.282367808563176
561	43-3061	2005	3.8824683592744374e-5	12.625653645497273	23.57108514879273
561	43-3061	2006	4.4460216264281315e-5	15.23083512286223	28.781524431695455
561	43-3061	2007	4.879572912005678e-5	17.57613362187732	33.53792774903458
561	43-3061	2008	4.215485791028462e-5	15.51094491439521	29.92261066662175
561	43-3061	2009	3.737309236351396e-5	12.1393949211124	23.579456455423035
561	43-3061	2010	3.38773889463763e-5	11.672563744624519	22.772036153641498
561	43-3061	2014	4.3929378294703375e-5	20.64613986135172	43.00032075484271
561	43-3061	2015	4.9789470449027256e-5	24.427536880291218	51.493674563610924
561	43-3061	2016	5.669555210754581e-5	27.94659640548085	59.802916852106364
561	43-3061	2017	5.5278987114062095e-5	27.67012021224475	59.85056121585334
561	43-3061	2018	5.8972754338665354e-5	29.63783224126099	64.5950778211597
561	43-3061	2019	5.003293534952865e-5	25.653513577870385	56.123444579457164
561	43-3061	2020	4.2103023599481696e-5	20.4602453214406	44.726190301229956
561	43-3061	2021	3.8068861519280213e-5	20.006761459222133	43.54486695638017
561	43-3061	2022	4.351414727812102e-5	24.210365575190373	52.879698002711166
561	43-3061	2023	4.558199441094622e-5	25.930570065919227	56.90167191643903
561	43-4031	2000	1.7827968985049342e-6	0.3113209376960918	0.5188278178791239
561	43-4031	2002	5.579846554219759e-5	10.394734107943664	18.41715188468009
561	43-4031	2003	5.030431002359955e-5	9.636990746162155	17.48310800414544
561	43-4031	2004	5.507848684375235e-5	9.866498163329567	18.188779502391366
561	43-4031	2005	7.514454888918267e-5	15.58205476587444	29.090449492138916
561	43-4031	2007	8.06190307200938e-5	20.289071352457007	38.714624259953176
561	43-4031	2008	9.013757636116159e-5	21.7248096966147	41.90995622419805
561	43-4031	2009	9.652652994549962e-5	19.94885520111961	38.74848504452768
561	43-4031	2010	8.1040028459959e-5	17.98721531667331	35.09130697043753
561	43-4031	2011	7.749219666567095e-5	18.073270039569003	36.02980655920362
561	43-4031	2012	7.059142204778054e-5	17.955547824895167	36.226033954984366
561	43-4031	2013	7.600860634970326e-5	20.00729151474189	40.961243869514774
561	43-4031	2014	8.405534721324196e-5	24.419419344928805	50.859040553365816
561	43-4031	2015	9.773488643697944e-5	30.453402692003063	64.19630498406204
561	43-4031	2016	7.655705125350134e-5	25.419871622226015	54.39597892203661
561	43-4031	2017	0.00010118865437828316	33.48186903477273	72.42139307367619
561	43-4031	2018	0.00010002973520735641	32.54291085740247	70.92664005414242
561	43-4031	2019	0.00011158424430470419	38.755602514709054	84.78752445645729
561	43-4031	2020	7.766950472233152e-5	26.433511787304443	57.78377824677717
561	43-4031	2021	7.909452781675696e-5	31.095696511388947	67.68001759126551
