account	year	volume	netstock	cfc	current_cost_netstock
482	2006	136.6257284157133	283.8428160352773	112.8576683709552	297.2564892255675
482	2007	175.97392048837278	335.8734777638289	129.19062297669606	350.0932948498918
482	2008	234.3420892006438	419.2007261764225	159.79660389779775	443.5779427036525
482	2009	205.1969397478003	450.46460057411525	176.11685698617828	456.12034420802166
482	2010	213.11831646751858	477.9083307723423	185.4160119061734	477.24278550445587
482	2011	231.5600933586872	511.57229831380096	195.30200500962601	504.8663542829685
482	2012	273.89355833169884	569.2928308189497	215.76558259109055	568.2198268582293
482	2013	248.1710323964371	586.3377475429975	226.63316343773482	574.9396955079787
482	2014	274.7780245315183	619.8735188049304	235.67099774678377	605.5581419657773
482	2015	254.0621134864928	624.967440442031	244.8829010350947	614.7124206151715
482	2016	233.20857896363037	610.9854427643794	243.76098355583116	602.5084551773617
482	2017	272.456739154345	634.370911138207	249.07127078051727	634.370911138207
482	2018	306.55448503976913	678.376011625279	267.0240555199921	689.9376820108353
482	2019	294.7115392248327	697.84362377088	291.0937541863056	738.0287094216832
482	2020	405.28316202877824	802.9650508712352	307.0767958519118	821.4635854946807
482	2021	326.0206673633627	806.9939233836258	336.0438380509191	842.2119433916506
482	2022	391.96810753695235	864.6360385365442	355.62968360706446	919.731782226518
482	2023	359.6038685143551	876.0939161196587	367.6922485834816	925.2812049528018
483	1997	35.482948858505566	106.4488465755167	0.0	91.51286630277738
483	1998	33.98338131708288	99.28538214791355	36.765557857779314	88.71354281785415
483	1999	35.94977848190387	96.14840350019561	36.09611752097482	88.79181408393156
483	2000	38.77098696247367	96.40809146885847	38.775413019918055	97.06926701609845
483	2001	46.62400402700655	103.12539766841111	42.42292328785584	109.6277335005885
483	2002	90.02212349617156	143.7687013590837	51.37091626347541	149.56878167435704
483	2003	90.19214875328291	171.00592486712492	66.34907346721944	180.22552847358423
483	2004	107.65369350651558	203.7153611668463	78.77994479448972	214.14162344995205
483	2005	80.76479955551311	203.1142404074918	85.17656889064311	212.62678556071245
483	2006	88.71894887468426	209.34195100056476	86.38955963716879	219.23490709141166
483	2007	89.25399220479424	213.93962750437174	88.240395433816	222.9971523522007
483	2008	136.20519009631406	256.1307434165096	99.48114830854266	271.02517036203193
483	2009	134.01549010648438	282.4334040330767	109.06520245973826	285.97945609760467
483	2010	135.07104319662815	300.84813868590794	116.49385049667531	300.4291711932692
483	2011	136.0435329365653	313.9350365710764	121.3448583473182	309.81982002885536
483	2012	124.16371764389649	312.7597890839647	125.10272606608848	312.17029897575725
483	2013	145.58094543623918	329.8239805861758	126.01846578039982	323.41240140869405
483	2014	172.3417546088094	363.5007825647918	135.46262023323686	355.10608505654153
483	2015	165.8962358233898	380.5807182293527	146.37439037292185	374.33581240129547
483	2016	144.3038484506079	373.9736858617418	148.81709989660817	368.7850674904466
483	2017	112.34998854949184	342.94078103240446	143.38289337882924	342.94078103240446
483	2018	119.77130590937679	328.43660894608365	136.56395634818216	334.0342063700946
483	2019	146.28245035242873	340.85978125774636	141.56751864079612	360.4880748154644
483	2020	173.9732564758794	372.2175679017305	145.90101408274634	380.7926354713762
483	2021	138.4493556552318	363.51950831384687	153.56907526309763	379.38386236427806
483	2022	204.05052756500268	412.3884451800668	165.06996542002815	438.6663783955321
483	2023	241.7615287742333	476.39357076523896	187.73633272027683	503.14014180327104
484	1997	627.3077159428443	1881.923147828533	0.0	1617.8679897405789
484	1998	668.9584640846122	1812.0808186228655	660.133792019646	1619.1316970792361
484	1999	722.6665078273746	1810.275968938056	669.0399813578235	1671.766575658533
484	2000	754.4889046556063	1835.591399838376	734.1742124194135	1848.1800542739757
484	2001	737.0508261892784	1837.9366217166496	781.030783995392	1953.8235072255525
484	2002	837.6836337321243	1923.3607759212034	782.6079862466232	2000.9551818672276
484	2003	784.2483167075432	1935.780781203755	813.4406186541738	2040.1463550022556
484	2004	869.2500112692007	2014.8955301935039	830.5748120339199	2118.0189723852254
484	2005	903.2497303608527	2095.9717954297134	860.6787033348618	2194.133432466595
484	2006	936.4621046280616	2177.6996174765272	895.1268015508215	2280.6120370454614
484	2007	990.3031800297466	2277.0523950091406	928.6704149274443	2373.4555667272098
484	2008	991.8288699159199	2344.5589882693607	978.0731479495046	2480.898976606719
484	2009	979.3481114466919	2379.1627517184843	956.6059500525281	2409.0339881484047
484	2010	970.2082791553414	2394.615400441774	953.4260175106884	2391.280608295346
484	2011	993.9874092781953	2424.7331080263457	951.234818425164	2392.9485009126956
484	2012	1093.8017760344328	2527.9902187129246	988.6776853128872	2523.225459048835
484	2013	1124.571615314186	2622.469825237105	1010.0676416633022	2571.490594147899
484	2014	1214.137796516542	2760.094713921855	1051.6518878328488	2696.3530073593265
484	2015	1294.877744224315	2919.1279294681663	1117.2065846699384	2871.228290452312
484	2016	1421.5723364004114	3130.728899979121	1193.183875498713	3087.2922676702315
484	2017	1448.347017423307	3294.1084478388366	1284.9674695635913	3294.1084478388366
484	2018	1555.7847851364513	3492.5596195062676	1380.4668663748346	3552.083869230092
484	2019	1615.0735268027274	3674.267685339785	1515.9053192639713	3885.8491293909747
484	2020	1628.401212586881	3806.5128007155913	1530.6242167591279	3894.206416723192
484	2021	1795.3130519480144	4033.7694104337397	1636.487989923084	4209.807132265359
484	2022	2261.2582904060127	4573.561515627504	1831.1602709132603	4864.994860739791
484	2023	2170.7864503936817	4858.029719079738	1992.2234230149054	5130.778229890914
485	1997	90.20733615571919	270.62200846715757	0.0	232.6506719062951
485	1998	90.69853453504557	255.99678442397638	94.10895707131252	228.73842256452104
485	1999	101.4524673736042	255.20824576065442	94.41825417066235	235.68153276949874
485	2000	88.35428674052775	243.76740279087608	100.4795338769357	245.43918203143483
485	2001	93.8513601258212	240.72106863210175	103.0073565389705	255.89918445531964
485	2002	107.04469683074329	249.68462644702058	102.03803977605608	259.75768736495064
485	2003	119.3730667316369	265.9339732410445	108.68352624834216	280.27152219251093
485	2004	127.53942496440798	283.57216963103633	115.52603284930805	298.0855465301944
485	2005	123.95366734909115	292.34283587826684	120.5774209941672	306.03426598643375
485	2006	136.2609769108722	308.44603801123804	125.8361186749082	323.022395477366
485	2007	139.2384846666048	321.662762562996	131.35712148254873	335.2809430680364
485	2008	150.4965803538742	339.8556586702259	139.9973626132066	359.61882810691674
485	2009	152.47996572566032	353.63707721820094	140.43995687831998	358.0771167810013
485	2010	166.63694037760087	374.62216846013473	145.44901128432755	374.1004616904263
485	2011	145.7083869047459	371.17176806071143	147.2035397611229	366.306263985052
485	2012	134.5715457527065	359.5908001677297	145.87704517406618	358.9130429012917
485	2013	150.87948212998603	365.4601018868082	142.19126999816842	358.35577801292425
485	2014	183.95347631136235	396.9346315173408	148.95759350868352	387.76781174153217
485	2015	198.65042977737303	430.16511249270474	162.70559162922123	423.106581964593
