industry	account	line	level	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
            Miscellaneous manufacturing	339	24	3	900.6526372104636	987.9294677233248	1046.8252725901623	1210.6386914757882	1250.8951090809223	1067.7527109763075	1153.7955726925356	1235.0179171923896	1294.86926893843	1337.0072871861373	1416.403089149419	1421.6897983584217	1407.0458411830111	1400.5400733881672	1480.3902725265352	1596.1452010558462	1653.6242406658148	1778.7492616793556	1876.2321790609396	1902.9298183958024	1948.0242402101412	2105.144166636709	2225.5650324025805	2130.51864171556	2275.3580424027105	2518.714808465115	2824.1592824313893
        Nondurable goods	31ND	25	2	5727.165647772313	6096.181652734086	6448.516057447898	7115.827824437784	7328.129518770607	7053.541232290709	7505.982051559164	7637.441093056643	7908.838056057103	8129.647339783418	8421.653027479022	8586.257588074885	8018.320912058686	8324.458940877832	8414.185131575496	9031.069210841593	9449.610030953732	9955.354552976127	10306.866797954108	10220.424137291191	10652.154504561722	11020.753913074323	11510.884001136816	11646.077861782249	12237.961630835875	14226.817265288924	14656.953536125702
            Food and beverage and tobacco products	311FT	26	3	995.3791002920229	1092.40114297222	1159.927403412627	1356.1298538098972	1394.5823027285014	1294.0265952316279	1479.877234604048	1467.1349312445175	1465.6141452019046	1470.5751613755774	1563.3515788326843	1630.5814393733685	1612.6439139349695	1616.1962844238142	1687.9117038757695	1791.8493431853074	1900.282203351614	2002.3222235057806	2242.779903077279	2206.8118185420635	2352.109403865791	2453.936738431095	2618.626204099091	2721.6402375278485	2850.758095282779	3379.651663395371	3474.750381874575
            Textile mills and textile product mills	313TT	27	3	318.48944152266023	333.9378126670948	340.80248838280136	342.92610176981975	318.9717353074172	333.1652845864415	332.0185737297122	315.34141000409346	303.01103667007857	280.92311814573674	304.29095022139984	284.9834278230736	246.7787208167109	239.02779404007464	231.14020593906096	236.15389476389643	253.3106209181715	283.10159999942067	292.89405133570557	286.9060884482153	286.8683895582735	318.70629293959627	324.2982225698821	292.0658682339177	320.39465429074613	338.4253390935177	317.80660144860934
            Apparel and leather and allied products	315AL	28	3	404.2229168812864	416.5649065618856	405.8027527955405	380.7277395598989	333.79455504229304	302.96751156304	307.8774281952627	295.8373054485256	281.9611372751058	281.109710449063	258.52053086667223	265.7285675317043	248.87822254590571	275.62767412757813	263.3610098752684	298.5840414050568	289.97395954706803	295.43815063771234	282.70281610980277	273.44369518869087	264.92273652255574	241.19026430044124	264.130831169104	229.5266236142923	202.5310027998529	324.54631930218346	292.2768311686334
            Paper products	322	29	3	494.45512374255907	510.5717462738309	538.6121662127866	592.4016082110049	581.2570671125741	564.8382295252426	578.6169711239877	559.3975115295808	569.7003367755178	570.1432409278116	562.6201166850273	581.7813435263405	549.7019113327668	574.7226415896378	609.9369888801616	623.4922731051894	662.3580085031405	684.7377532276595	705.9309764776865	679.3012216142973	681.4998760248398	680.9718592705375	726.1949252247286	699.9102400914427	719.6771677022197	794.3608778519781	848.1745978154897
            Printing and related support activities	323	30	3	752.9937848166699	800.4951556840012	836.9366239984275	847.6006582974197	893.3323870375448	788.4156395006859	808.3021652123583	885.708849040759	904.6963900772655	950.9917964599861	943.7638823772802	896.4459590350226	753.0263491850923	718.1857013663074	706.303109747902	712.6753090982934	742.1844785259651	751.203603430126	719.9858449507262	728.3515216245117	745.1292270530602	763.6690651899517	785.5670724337384	722.8235313073426	847.8434781129534	952.2484909833966	909.2637172344143
            Petroleum and coal products	324	31	3	329.1784732165011	339.6023547562196	362.76788875977195	391.4562782675425	395.297677366018	292.9786490188691	315.6412546488735	293.26690895425867	316.8894458543579	359.14735099466554	312.4799808222141	432.10261754844686	356.0805109919395	373.5143523081638	392.7851699265626	506.91606897227814	538.5396029626334	533.4943076950119	535.0132415952372	529.6690497484627	522.7919236205985	545.5995020479754	624.0621824498122	561.8375734926649	541.3800237126475	614.7033937317074	644.6269638227174
            Chemical products	325	32	3	1889.8119916331557	2012.39427373143	2163.425012888792	2535.5684857346832	2723.722357215805	2767.477876557447	2955.1554224098736	3099.6809569725915	3344.7579354831623	3444.2620413417476	3682.6448158923035	3696.388958346745	3573.733920221807	3803.648025767451	3739.8225920511936	4024.5704173859335	4178.656810601993	4436.969168515851	4505.929437292726	4408.894835055006	4627.621372924753	4747.823842672606	4914.907611162272	5170.771152443504	5413.349521657928	6300.89501536758	6574.99019865693
            Plastics and rubber products	326	33	3	542.6348156674574	590.2142600874037	640.2417209971501	669.0170987875182	687.1714369604538	709.671446307355	728.4930016350472	721.0732198623159	722.2076287197112	772.4949200888292	793.9811717814412	798.2452748901833	677.4773630294943	723.5364672548038	782.9243512795765	836.8278629256376	884.3043465431477	968.0877459645656	1021.6305271149444	1107.045907069944	1171.2115749918496	1268.8563482221195	1253.0969520281865	1247.502635071236	1342.02768727675	1521.9861655631905	1595.0642441043326
