component	lightcast	refined	occ_ttl
33-9093	0	0	Transportation Security Screeners
33-9094 | 33-9099	0	0	Protective Service Workers, All Other; School Bus Monitors
35-1011	0	0	Chefs and Head Cooks
35-1012	0	0	First-Line Supervisors of Food Preparation and Serving Workers
35-2011	0	0	Cooks, Fast Food
35-2012	0	0	Cooks, Institution and Cafeteria
35-2014	0	0	Cooks, Restaurant
35-2015	0	0	Cooks, Short Order
35-2021	0	0	Food Preparation Workers
35-3011	0	0	Bartenders
35-3023	0	0	Fast Food and Counter Workers
35-3031	0	0	Waiters and Waitresses
35-3041	0	0	Food Servers, Nonrestaurant
35-9011	0	0	Dining Room and Cafeteria Attendants and Bartender Helpers
35-9021	0	0	Dishwashers
35-9031	0	0	Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop
37-1011	0	0	First-Line Supervisors of Housekeeping and Janitorial Workers
37-1012	0	0	First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers
37-2011	0	0	Janitors and Cleaners, Except Maids and Housekeeping Cleaners
37-2012	0	0	Maids and Housekeeping Cleaners
37-2021	0	0	Pest Control Workers
37-3011	0	0	Landscaping and Groundskeeping Workers
37-3012	0	0	Pesticide Handlers, Sprayers, and Applicators, Vegetation
37-3013	0	0	Tree Trimmers and Pruners
39-1013	0	0	First-Line Supervisors of Entertainment and Recreation Workers
39-2011	0	0	Animal Trainers
39-2021	0	0	Animal Caretakers
39-3011	0	0	Gambling Dealers
39-3012	10	0	Gambling and Sports Book Writers and Runners
39-3021	0	0	Motion Picture Projectionists
39-3031	0	0	Ushers, Lobby Attendants, and Ticket Takers
39-3091	0	0	Amusement and Recreation Attendants
39-3092	0	0	Costume Attendants
39-3093	0	0	Locker Room, Coatroom, and Dressing Room Attendants
39-4011	0	0	Embalmers
39-4021	10	0	Funeral Attendants
39-5011	0	0	Barbers
39-5012	0	0	Hairdressers, Hairstylists, and Cosmetologists
39-5091	0	0	Makeup Artists, Theatrical and Performance
39-5092	0	0	Manicurists and Pedicurists
39-5093	0	0	Shampooers
39-5094	0	0	Skincare Specialists
39-6011	0	0	Baggage Porters and Bellhops
39-6012	0	0	Concierges
39-9011	0	0	Childcare Workers
39-9031	0	0	Exercise Trainers and Group Fitness Instructors
39-9032	0	0	Recreation Workers
39-9041	0	0	Residential Advisors
41-1011	0	0	First-Line Supervisors of Retail Sales Workers
41-1012	0	0	First-Line Supervisors of Non-Retail Sales Workers
41-2011	0	0	Cashiers
41-2012	0	0	Gambling Change Persons and Booth Cashiers
41-2021	0	0	Counter and Rental Clerks
41-2022	15	0	Parts Salespersons
41-2031	0	0	Retail Salespersons
41-3011	0	0	Advertising Sales Agents
41-3021	0	0	Insurance Sales Agents
41-3031	0	0	Securities, Commodities, and Financial Services Sales Agents
41-3041	0	0	Travel Agents
41-3091	0	0	Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel
41-4011	0	0	Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products
41-4012	0	0	Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products
41-9011	0	0	Demonstrators and Product Promoters
41-9012	0	0	Models
41-9021	0	0	Real Estate Brokers
41-9022	0	0	Real Estate Sales Agents
41-9031	15	0	Sales Engineers
41-9041	0	0	Telemarketers
41-9091	15	0	Door-to-Door Sales Workers, News and Street Vendors, and Related Workers
43-1011	15	0	First-Line Supervisors of Office and Administrative Support Workers
43-2011	10	0	Switchboard Operators, Including Answering Service
43-2021	0	0	Telephone Operators
43-3011	15	0	Bill and Account Collectors
43-3021	35	0	Billing and Posting Clerks
43-3031	25	25	Bookkeeping, Accounting, and Auditing Clerks
43-3041	10	0	Gambling Cage Workers
43-3051	30	30	Payroll and Timekeeping Clerks
43-3061	15	15	Procurement Clerks
43-3071	0	0	Tellers
43-4011	40	0	Brokerage Clerks
43-4021	30	0	Correspondence Clerks
43-4031	30	30	Court, Municipal, and License Clerks
43-4041	25	0	Credit Authorizers, Checkers, and Clerks
43-4051	15	0	Customer Service Representatives
43-4061	25	25	Eligibility Interviewers, Government Programs
43-4071	45	45	File Clerks
43-4081	0	0	Hotel, Motel, and Resort Desk Clerks
43-4111	15	15	Interviewers, Except Eligibility and Loan
43-4121	0	0	Library Assistants, Clerical
43-4131	15	0	Loan Interviewers and Clerks
43-4141	0	0	New Accounts Clerks
43-4151	20	0	Order Clerks
43-4161	25	0	Human Resources Assistants, Except Payroll and Timekeeping
43-4171	15	0	Receptionists and Information Clerks
43-4181	0	0	Reservation and Transportation Ticket Agents and Travel Clerks
43-5011	0	0	Cargo and Freight Agents
43-5021	0	0	Couriers and Messengers
43-5031	10	0	Public Safety Telecommunicators
43-5032	15	0	Dispatchers, Except Police, Fire, and Ambulance
43-5041	15	15	Meter Readers, Utilities
43-5051	0	0	Postal Service Clerks
43-5052	0	0	Postal Service Mail Carriers
43-5053	0	0	Postal Service Mail Sorters, Processors, and Processing Machine Operators
43-5061	15	0	Production, Planning, and Expediting Clerks
43-5071	15	0	Shipping, Receiving, and Inventory Clerks
43-5111	70	0	Weighers, Measurers, Checkers, and Samplers, Recordkeeping
43-6011	15	0	Executive Secretaries and Executive Administrative Assistants
43-6012	30	30	Legal Secretaries and Administrative Assistants
43-6013	30	30	Medical Secretaries and Administrative Assistants
43-6014	25	0	Secretaries and Administrative Assistants, Except Legal, Medical, and Executive
43-9021	95	90	Data Entry Keyers
43-9022	20	20	Word Processors and Typists
43-9031	15	0	Desktop Publishers
43-9041	20	20	Insurance Claims and Policy Processing Clerks
43-9051	15	0	Mail Clerks and Mail Machine Operators, Except Postal Service
43-9061	25	0	Office Clerks, General
43-9071	0	0	Office Machine Operators, Except Computer
43-9081	0	0	Proofreaders and Copy Markers
43-9111	20	0	Statistical Assistants
45-1011	0	0	First-Line Supervisors of Farming, Fishing, and Forestry Workers
45-2011	10	10	Agricultural Inspectors
45-2021	80	0	Animal Breeders
45-2041	0	0	Graders and Sorters, Agricultural Products
45-2091	10	0	Agricultural Equipment Operators
45-2092	0	0	Farmworkers and Laborers, Crop, Nursery, and Greenhouse
45-2093	15	0	Farmworkers, Farm, Ranch, and Aquacultural Animals
45-4011	0	0	Forest and Conservation Workers
45-4021	0	0	Fallers
45-4022	0	0	Logging Equipment Operators
45-4023	25	0	Log Graders and Scalers
47-1011	0	0	First-Line Supervisors of Construction Trades and Extraction Workers
47-2011	0	0	Boilermakers
47-2021	35	0	Brickmasons and Blockmasons
47-2022	0	0	Stonemasons
47-2031	0	0	Carpenters
47-2041	0	0	Carpet Installers
47-2042	10	0	Floor Layers, Except Carpet, Wood, and Hard Tiles
47-2043	0	0	Floor Sanders and Finishers
47-2044	0	0	Tile and Stone Setters
47-2051	0	0	Cement Masons and Concrete Finishers
47-2053	0	0	Terrazzo Workers and Finishers
47-2061	0	0	Construction Laborers
47-2071	0	0	Paving, Surfacing, and Tamping Equipment Operators
47-2072	10	0	Pile Driver Operators
47-2073	0	0	Operating Engineers and Other Construction Equipment Operators
47-2081	0	0	Drywall and Ceiling Tile Installers
47-2082	10	0	Tapers
47-2111	0	0	Electricians
47-2121	0	0	Glaziers
47-2131	0	0	Insulation Workers, Floor, Ceiling, and Wall
47-2132	0	0	Insulation Workers, Mechanical
47-2141	0	0	Painters, Construction and Maintenance
47-2142	0	0	Paperhangers
47-2151	0	0	Pipelayers
47-2152	0	0	Plumbers, Pipefitters, and Steamfitters
47-2161	0	0	Plasterers and Stucco Masons
47-2171	0	0	Reinforcing Iron and Rebar Workers
47-2181	0	0	Roofers
47-2211	0	0	Sheet Metal Workers
47-2221	0	0	Structural Iron and Steel Workers
47-2231 | 47-4091 | 47-4099	0	0	Miscellaneous Construction and Related Workers; Solar Photovoltaic Installers
47-3011	0	0	Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters
47-3012	0	0	Helpers--Carpenters
47-3013	0	0	Helpers--Electricians
47-3014	0	0	Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons
47-3015	0	0	Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters
47-3016	0	0	Helpers--Roofers
47-4011	60	60	Construction and Building Inspectors
