account	year	value
332	2023	125005
333	1988	53091
333	1989	57126
333	1990	61095
333	1991	61986
333	1992	62127
333	1993	61901
333	1994	64606
333	1995	67557
333	1996	70601
333	1997	72354
333	1998	74946
333	1999	76056
333	2000	80170
333	2001	74926
333	2002	69568
333	2003	68686
333	2004	71844
333	2005	75459
333	2006	79304
333	2007	82801
333	2008	84207
333	2009	73942
333	2010	75166
333	2011	83234
333	2012	88411
333	2013	88681
333	2014	92621
333	2015	94664
333	2016	90788
333	2017	94780
333	2018	100457
333	2019	101911
333	2020	93785
333	2021	100097
333	2022	110011
333	2023	116527
334	1988	72218
334	1989	78703
334	1990	79412
334	1991	81428
334	1992	82587
334	1993	85230
334	1994	87050
334	1995	93091
334	1996	102902
334	1997	109732
334	1998	118402
334	1999	128597
334	2000	149631
334	2001	136220
334	2002	120047
334	2003	115829
334	2004	119634
334	2005	123200
334	2006	129630
334	2007	131824
334	2008	128167
334	2009	118619
334	2010	123468
334	2011	128747
334	2012	130662
334	2013	128137
334	2014	132262
334	2015	137529
334	2016	142701
334	2017	150706
334	2018	158131
334	2019	161194
334	2020	168704
334	2021	182630
334	2022	187212
334	2023	197451
335	1988	24975
335	1989	24450
335	1990	25306
335	1991	25272
335	1992	24421
335	1993	25015
335	1994	25735
335	1995	26517
335	1996	26608
335	1997	27006
335	1998	28108
335	1999	29501
335	2000	31274
335	2001	30045
335	2002	28038
335	2003	27704
335	2004	28558
335	2005	29092
335	2006	30292
335	2007	31038
335	2008	30871
335	2009	28568
335	2010	29199
335	2011	30644
335	2012	31890
335	2013	33017
335	2014	33582
335	2015	34671
335	2016	34953
335	2017	36459
335	2018	37625
335	2019	38230
335	2020	36814
335	2021	39291
335	2022	42034
335	2023	44972
3361MV	1988	46126
3361MV	1989	50483
3361MV	1990	50085
3361MV	1991	47031
3361MV	1992	47101
3361MV	1993	52936
3361MV	1994	56409
3361MV	1995	61974
3361MV	1996	63337
3361MV	1997	63330
3361MV	1998	71422
3361MV	1999	77205
3361MV	2000	80210
3361MV	2001	73361
3361MV	2002	73815
3361MV	2003	75609
3361MV	2004	76232
3361MV	2005	75371
3361MV	2006	75408
3361MV	2007	72484
3361MV	2008	63683
3361MV	2009	37414
3361MV	2010	48567
3361MV	2011	52541
3361MV	2012	56836
3361MV	2013	59316
3361MV	2014	64719
3361MV	2015	69906
3361MV	2016	72429
3361MV	2017	75338
3361MV	2018	79772
3361MV	2019	80308
3361MV	2020	71788
3361MV	2021	77724
3361MV	2022	88336
3361MV	2023	93737
3364OT	1988	46675
3364OT	1989	47877
3364OT	1990	50727
3364OT	1991	53113
3364OT	1992	52697
3364OT	1993	51428
3364OT	1994	48179
3364OT	1995	45252
3364OT	1996	46351
3364OT	1997	46806
3364OT	1998	50279
3364OT	1999	51340
3364OT	2000	50832
3364OT	2001	51963
3364OT	2002	51110
3364OT	2003	51390
3364OT	2004	56400
3364OT	2005	57606
3364OT	2006	62328
3364OT	2007	66237
3364OT	2008	68711
3364OT	2009	67226
3364OT	2010	66859
3364OT	2011	69515
3364OT	2012	72072
3364OT	2013	74230
3364OT	2014	76491
3364OT	2015	78114
3364OT	2016	77570
3364OT	2017	79828
3364OT	2018	84100
3364OT	2019	87912
3364OT	2020	83427
3364OT	2021	81728
3364OT	2022	91215
3364OT	2023	100270
337	1988	16193
337	1989	17308
337	1990	17836
337	1991	18029
337	1992	17197
337	1993	18527
337	1994	19353
337	1995	20344
337	1996	20799
337	1997	21449
337	1998	22996
337	1999	24407
337	2000	25474
337	2001	24769
337	2002	24297
337	2003	24577
337	2004	25172
337	2005	26013
337	2006	25941
337	2007	25867
337	2008	24120
337	2009	19575
337	2010	17843
337	2011	18063
337	2012	18528
337	2013	19401
337	2014	20382
337	2015	21926
337	2016	22179
337	2017	23576
337	2018	24580
337	2019	23729
337	2020	22368
337	2021	24393
337	2022	26865
337	2023	26924
339	1988	19243
339	1989	22506
339	1990	23936
339	1991	25035
339	1992	26051
339	1993	28803
339	1994	30934
339	1995	31825
339	1996	32751
339	1997	35508
339	1998	38003
339	1999	39144
339	2000	41223
339	2001	41074
339	2002	40566
339	2003	42097
339	2004	45065
339	2005	46092
339	2006	47947
339	2007	49446
339	2008	50215
339	2009	47467
339	2010	47364
339	2011	48238
339	2012	50042
339	2013	50365
339	2014	52320
339	2015	56107
339	2016	56016
339	2017	57807
339	2018	60448
339	2019	62021
339	2020	57413
339	2021	62691
339	2022	69063
339	2023	72047
42	1988	176143
42	1989	193548
42	1990	207446
42	1991	216018
42	1992	221445
42	1993	235044
42	1994	240399
42	1995	253801
42	1996	269413
42	1997	283353
42	1998	307592
42	1999	320396
42	2000	345772
42	2001	347305
42	2002	346041
42	2003	354691
42	2004	371953
42	2005	396558
42	2006	422020
42	2007	445949
42	2008	452358
42	2009	419262
42	2010	426980
42	2011	451278
42	2012	469783
42	2013	480983
42	2014	503405
42	2015	522826
42	2016	527725
42	2017	544580
42	2018	557918
42	2019	571213
42	2020	567333
42	2021	615870
42	2022	677289
42	2023	718961
441	1988	49312
441	1989	51799
441	1990	54548
441	1991	56586
441	1992	58022
441	1993	60267
441	1994	63478
441	1995	67257
441	1996	70290
441	1997	73307
441	1998	77871
441	1999	82075
441	2000	85726
441	2001	89756
441	2002	92811
441	2003	96865
441	2004	98665
441	2005	102787
441	2006	103405
441	2007	104884
441	2008	97775
441	2009	84429
441	2010	87996
441	2011	93819
441	2012	98932
441	2013	104401
441	2014	110563
441	2015	117817
441	2016	122450
441	2017	125561
441	2018	129984
441	2019	136972
441	2020	131767
441	2021	157028
441	2022	171394
441	2023	177321
445	1988	43834
445	1989	46045
445	1990	48490
445	1991	50301
445	1992	51577
445	1993	53572
445	1994	56426
445	1995	59786
445	1996	62483
445	1997	65165
445	1998	69228
445	1999	70340
445	2000	72792
445	2001	74956
445	2002	76486
445	2003	79195
445	2004	79647
445	2005	81308
445	2006	81854
445	2007	84360
445	2008	87489
445	2009	85836
445	2010	86499
445	2011	86998
445	2012	88724
445	2013	90924
445	2014	93664
445	2015	98979
445	2016	99744
445	2017	102580
445	2018	105325
445	2019	110191
445	2020	116565
445	2021	115873
445	2022	126931
445	2023	138378
452	1988	34997
452	1989	36762
452	1990	38714
452	1991	40160
452	1992	41177
452	1993	42771
452	1994	45051
452	1995	47731
452	1996	49886
452	1997	52026
452	1998	55268
452	1999	56872
452	2000	61562
452	2001	63553
452	2002	67150
452	2003	72028
452	2004	74742
452	2005	79713
452	2006	81878
452	2007	84953
452	2008	86675
452	2009	89053
452	2010	87304
452	2011	91074
452	2012	90351
452	2013	90120
