component	lightcast
25-2051 | 25-2055 | 25-2056	0.09502064077740839
25-2057	0.053929481081412836
25-2058	0.32023249377248825
25-3011	0.03690182535767143
25-3021	0.043717277486910996
25-3031 | 25-3041	0.03011414965392404
25-4011	0.05478810583001639
25-4012	0.18740858505564387
25-4013	0.17132867132867133
25-4022	0.11469452967042289
25-4031	0.13887198689445354
25-9021	0.09060438391147052
25-9031	0.07697244151692739
25-9042 | 25-9043 | 25-9049	0.04688541464525873
25-9044	0.16904422253922968
27-1011	0.015486527616148956
27-1012	0.2513339466421343
27-1013	0.015996194214015998
27-1014	0.028541660089034825
27-1021	0.05015686274509804
27-1022	0.017681559427289977
27-1023	0.008681135225375626
27-1024	0.024041144077048108
27-1025	0.03486045644138493
27-1026	0.036740306116590696
27-1027	0.19609756097560976
27-2012	0.027168520824977307
27-2021	0.18301778542742397
27-2022	0.020873629916183106
27-2023	0.03528114663726571
27-2032	0.05918057663125948
27-2041	0.02330641295128517
27-3011	0.02877697841726619
27-3023	0.06281698747326611
27-3031	0.08689426273637005
27-3041	0.043846933208635336
27-3042	0.10906541922378153
27-3043	0.0820116628904654
27-3091	0.10491605875187275
27-3092	0.6101021566401816
27-4011	0.025727970160640868
27-4012	0.03887227680478428
27-4014	0.01867219917012448
27-4015	0.02564102564102564
27-4021	0.013849979185652726
27-4031	0.008310249307479225
27-4032	0.02375478927203065
29-1011	0.1316348195329087
29-1021	0.09072869847948742
29-1022	0.012213397272591039
29-1023	0.03260869565217391
29-1024	0.0
29-1031	0.06661143503248766
29-1041	0.12880418075622502
29-1051	0.16645814266487213
29-1071	0.12710056396353112
29-1081	0.03731252286306548
29-1122	0.0931739584657925
29-1123	0.11944000527208923
29-1124	0.11426899864515334
29-1125	0.1232141780698053
29-1126	0.12545931205845504
29-1127	0.10888436753681115
29-1128 | 29-1129	0.1707035755478662
29-1131	0.30394444842150475
29-1141 | 29-1151 | 29-1161 | 29-1171	0.1530632876285274
29-1181	0.08531329850120133
29-1211	0.01665095821551995
29-1212 | 29-1213 | 29-1214 | 29-1217 | 29-1222 | 29-1224 | 29-1229 | 29-1241	0.113020578168263
29-1215	0.04536844043016883
29-1216	0.06708006969881115
29-1218	0.10447865531597589
29-1221	0.037720569988114364
29-1223	0.12520974417664116
29-1242 | 29-1243 | 29-1249	0.08884574313173478
29-1291	0.07366482504604052
29-1292	0.11522995302943263
29-2011 | 29-2012	0.2197150100748572
29-2031	0.08115074142318154
29-2032	0.10398330195151144
29-2033	0.09134360063728093
29-2034 | 29-2035	0.10723653624294742
29-2036 | 29-2057 | 29-2072 | 29-2092	0.6778046418859763
29-2042 | 29-2043	0.23112980140912973
29-2051	0.11250622354991287
29-2052	0.2926453033504864
29-2053	0.16244712929795802
29-2055	0.1086005722842444
29-2056	0.22071682853489097
29-2061	0.18823221507485893
29-2081	0.08706804085249266
29-2091	0.40540540540540543
29-9091	0.12832631919715118
29-9092 | 29-9093	0.05017986223800824
31-1121 | 31-1122	0.07685651619408067
31-1131 | 31-1132	0.12480059356144585
31-1133	0.03134796238244514
31-2011	0.09249254795729377
31-2012	0.07262996941896024
31-2021	0.10147275917430053
31-2022	0.13068775975331814
31-9011	0.041916211399690324
31-9091	0.054131549222347725
31-9092	0.367509412676502
31-9093	0.03841888871828992
31-9094	0.2172841322982966
31-9095	0.20548960367113683
31-9096	0.16583771834979216
31-9097 | 31-9099	0.49619765834105006
33-1011	0.0737149892274546
33-1012	0.08865411116214975
33-1021	0.16837899543378995
33-1091 | 33-1099	0.11070561213510582
33-2011	0.10808373590982287
33-2021	0.17411300919842312
33-2022	0.450026723677178
33-3011	0.2809917355371901
33-3012	0.022106631989596878
33-3021	0.40022244258033396
33-3031	0.1927710843373494
33-3041	0.11483967188665176
33-3051	0.15390200977194687
33-3052	0.09819967266775777
33-9011	0.07317073170731707
33-9021	0.20672620178605358
33-9031	0.3380281690140845
33-9032	0.023623526291946122
33-9091	0.0016420361247947454
33-9092	0.011306941431670282
33-9093	0.02077265813911822
33-9094 | 33-9099	0.03693659030977562
35-1011	0.01763608778423092
35-1012	0.008543808097323378
35-2011	0.008488254544831486
35-2012	0.013197413780348874
35-2013	0.003703703703703704
35-2014	0.00426713241259201
35-2015	0.004995418403239632
35-2021	0.009652048432258866
35-3011	0.0047627391782695
35-3023	0.036226088950963124
35-3031	0.007381156731913951
35-3041	0.006393640919301884
35-9011	0.023712035995500563
35-9021	0.005214229818725512
35-9031	0.010679472226016722
37-1011	0.018894099957038522
37-1012	0.02268710954028424
37-2011	0.009059542041072384
37-2012	0.021396544647766257
37-2021	0.011610415474904129
37-3011	0.015433937640082844
37-3012	0.01337568968399933
37-3013	0.023661567877629065
39-1013	0.05298353909465021
39-2011	0.005320778895172298
39-2021	0.003229263413588626
39-3011	0.033854166666666664
39-3012	0.12087912087912088
39-3021	0.0
39-3031	0.012385476756023075
39-3091	0.03271812080536913
39-3092	0.0
39-3093	0.007840868114082534
39-4011	0.0625
39-4012	0.004347826086956522
39-4021	0.10204405007130407
39-5011	0.0
39-5012	0.0018941331473300784
39-5091	0.006897740989825832
39-5092	0.005817174515235457
39-5094	0.021897050016923998
39-6011	0.017105544596810608
39-6012	0.05835156374124635
39-9011	0.004045714042602977
39-9031	0.013168599125641512
39-9032	0.023168488167942137
39-9041	0.06080926103323124
41-1011	0.03713392748997633
41-1012	0.04043100647212245
