component	probable
51-9162	false
51-9191	false
51-9192	false
51-9193	false
51-9194	false
51-9195	false
51-9196	false
51-9197	false
51-9198	false
53-1041	false
53-2011	false
53-2012	false
53-2021	false
53-2022	true
53-2031	false
53-3011	false
53-3031	false
53-3032	false
53-3033	false
53-3052	false
53-4011	false
53-4013	false
53-4022	false
53-4031	false
53-4041	false
53-5011	false
53-5021	false
53-5022	false
53-5031	false
53-6011	false
53-6021	false
53-6031	false
53-6041	true
53-6051	false
53-6061	false
53-7011	false
53-7021	false
53-7031	false
53-7041	false
53-7051	false
53-7061	false
53-7062	false
53-7063	false
53-7064	false
53-7065	false
53-7071	false
53-7072	false
53-7073	false
53-7081	false
53-7121	false
11-2032 | 11-2033	false
11-3012 | 11-3013	false
11-9171 | 39-4031	false
13-1021 | 13-1022 | 13-1023	false
13-1071 | 13-1075	false
13-1082 | 13-1199	false
13-1131 | 41-9099	false
13-2022 | 13-2023	true
13-2054 | 13-2099	false
19-4012 | 19-4013	false
19-4043 | 19-4044	false
21-1011 | 21-1014	false
15-1231 | 15-1232	false
15-1242 | 15-1243	true
15-1212 | 15-1241 | 15-1254 | 15-1255	false
15-2051 | 15-2099	true
21-1094 | 21-1099	false
25-2051 | 25-2055 | 25-2056	false
25-3031 | 25-3041	false
25-9042 | 25-9043 | 25-9049	false
29-1212 | 29-1213 | 29-1214 | 29-1217 | 29-1222 | 29-1224 | 29-1229 | 29-1241	false
29-1141 | 29-1151 | 29-1161 | 29-1171	false
29-1128 | 29-1129	false
29-1242 | 29-1243 | 29-1249	false
29-2011 | 29-2012	false
29-2034 | 29-2035	true
29-2036 | 29-2057 | 29-2072 | 29-2092	false
29-2042 | 29-2043	false
29-9092 | 29-9093	false
31-1121 | 31-1122	false
31-1131 | 31-1132	false
31-9097 | 31-9099	false
33-1091 | 33-1099	false
33-9094 | 33-9099	false
47-2231 | 47-4091 | 47-4099	false
49-9081 | 49-9099	false
51-2022 | 51-2023	false
51-2092 | 51-2099	false
53-1042 | 53-1043 | 53-1044 | 53-1049	false
53-3051 | 53-3054	false
53-6032 | 53-6099	false
