occ_code	naics	year	tot_emp	h_mean
98999	5419	1997	1537.52	8.70039843384151
0	8129	1997	190540.43	9.580295652214073
0	3116	1997	489057.61	9.888124229168012
10000	8129	1997	10339.1	22.983669980946118
10000	3116	1997	13721.279999999999	27.24950870472726
13002	8129	1997	718.6	26.677922349011965
13002	3116	1997	997.9100000000001	29.14061638825145
13005	8129	1997	491.24	17.77248839671037
13005	3116	1997	977.5600000000001	23.28555075903269
13011	8129	1997	838.8699999999999	19.239947548487848
13011	3116	1997	974.36	30.23597027792602
13014	8129	1997	446.15	21.19086921438978
13014	3116	1997	363.48	23.530008803785623
19005	8129	1997	6118.89	24.735746287316815
19005	3116	1997	4221.13	31.899425272379666
19999	8129	1997	1609.7800000000002	18.55627265837568
19999	3116	1997	1362.1500000000003	24.037504239621185
20000	8129	1997	11412.369999999999	14.069654515232157
20000	3116	1997	10799.49	17.093147907910467
21100	8129	1997	3825.3200000000006	12.613398722198404
21100	3116	1997	1780.9999999999998	18.120576305446377
21114	8129	1997	713.57	16.525600711913334
21114	3116	1997	1567.02	17.929680157241133
21511	8129	1997	237.64999999999998	15.19208415737429
21511	3116	1997	1026.05	15.895392817114175
24300	8129	1997	55.4	12.99317689530686
24300	3116	1997	93.10000000000001	18.855598281417834
24305	8129	1997	42.72	10.32
24305	3116	1997	4.28	11.562336448598131
24500	8129	1997	289.53999999999996	9.912174483663742
24500	3116	1997	1696.71	12.548109517831568
24502	8129	1997	256.32	9.78
24502	3116	1997	1148.39	12.679701582215102
24505	8129	1997	16.02	9.39
24505	3116	1997	431.03000000000003	11.998331670649375
25100	8129	1997	741.4899999999999	19.70269983411779
25100	3116	1997	1234.7999999999997	20.66812682215744
25102	8129	1997	103.13	21.405790749539417
25102	3116	1997	369.2	24.39212459371614
25104	8129	1997	138.6	15.025238095238096
25104	3116	1997	294.65	17.75889869336501
25105	8129	1997	356.99	21.367640550155464
25105	3116	1997	396.89	20.568868704174967
31321	8129	1997	317.37	13.744325550619152
31321	3116	1997	1.47	7.429999999999999
32000	8129	1997	1150.13	13.511386191126219
32000	3116	1997	1024.79	14.215199016383846
32114	8129	1997	90.78	27.239999999999995
32114	3116	1997	8.330000000000002	27.24
32905	8129	1997	16.02	7.21
32905	3116	1997	1.47	7.21
32951	8129	1997	315.06	9.24
32951	3116	1997	28.91	9.24
32999	8129	1997	299.68	15.778575146823277
32999	3116	1997	860.1500000000001	14.24493065163053
39999	8129	1997	521.5	12.76552828379674
39999	3116	1997	338.14000000000004	17.507375643224695
40000	8129	1997	32372.309999999998	9.047583675678382
40000	3116	1997	6525.7	17.882687864903385
41002	8129	1997	3460.3599999999997	14.620440416604055
41002	3116	1997	1759.3000000000002	21.0156836241687
43000	8129	1997	1507.53	15.822828003422819
43000	3116	1997	1.96	9.62
43017	8129	1997	925.36	16.927339846113945
43017	3116	1997	1.96	9.62
49005	8129	1997	206.38	18.629572633007072
49005	3116	1997	340.7800000000001	19.072731967838482
49008	8129	1997	1129.3700000000001	14.8391641357571
49008	3116	1997	2944.35	18.933377349839525
49011	8129	1997	97.47	7.7143828870421665
49011	3116	1997	898.16	11.302217422285562
49023	8129	1997	13758.619999999999	7.246041681505849
49023	3116	1997	157.52	7.238852209243271
49999	8129	1997	994.96	9.731550012060787
49999	3116	1997	401.52	14.170584279737003
50000	8129	1997	24031.94	9.477095623574295
50000	3116	1997	23954.97	10.13287469364395
51002	8129	1997	2138.7999999999997	13.242816626145503
51002	3116	1997	1458.1000000000001	15.002388450723545
55108	8129	1997	1770.74	10.56496041203113
55108	3116	1997	1660.18	10.771082171812692
55305	8129	1997	3438.2200000000003	7.7641512177812935
55305	3116	1997	722.3500000000001	8.694508063957915
55307	8129	1997	147.83	10.375629439220727
55307	3116	1997	32.35	9.219666151468315
