%SeriesCode,SeriesLabel,MetricName,CalculationType,DefaultScale,TableId:LineNo,SeriesCodeParents
e1gtotlest00,"Structures","Year","Level",0,FAAt707:81,NONE
e1gtotlgeq00,"Equipment","Year","Level",0,FAAt707:76,NONE
e1gtotlges00,"General government fixed assets","Year","Level",0,FAAt707:75,NONE
e1gtotlgip00,"Intellectual property products","Year","Level",0,FAAt707:78,NONE
e1gtotlgst00,"Structures","Year","Level",0,FAAt707:77,NONE
e1n11001eq00,"Agriculture, forestry, fishing, and hunting","Year","Level",0,FAAt309E:2,NONE
e1n11001es00,"Agriculture, forestry, fishing, and hunting","Year","Level",0,FAAt309ESI:2,NONE
e1n11001ip00,"Agriculture, forestry, fishing, and hunting","Year","Level",0,FAAt309I:2,NONE
e1n11001st00,"Agriculture, forestry, fishing, and hunting","Year","Level",0,FAAt309S:2,NONE
e1n110c1eq00,"Equipment","Year","Level",0,FAAt309E:3|FAAt409:6,NONE
e1n110c1es00,"Farms","Year","Level",0,FAAt309ESI:3|FAAt409:5|FAAt609:11,NONE
e1n110c1ip00,"Farms","Year","Level",0,FAAt309I:3|FAAt409:8,NONE
e1n110c1st00,"Farms","Year","Level",0,FAAt309S:3|FAAt409:7,NONE
e1n110c2eq00,"Equipment","Year","Level",0,FAAt409:22,NONE
e1n110c2es00,"Farms","Year","Level",0,FAAt409:21,NONE
e1n110c2ip00,"Intellectual property products","Year","Level",0,FAAt409:24,NONE
e1n110c2st00,"Structures","Year","Level",0,FAAt409:23,NONE
e1n110c3eq00,"Equipment","Year","Level",0,FAAt409:46,NONE
e1n110c3es00,"Farms","Year","Level",0,FAAt409:45,NONE
e1n110c3ip00,"Intellectual property products","Year","Level",0,FAAt409:48,NONE
e1n110c3st00,"Structures","Year","Level",0,FAAt409:47,NONE
e1n113f1eq00,"Forestry, fishing, and related activities","Year","Level",0,FAAt309E:4,NONE
e1n113f1es00,"Forestry, fishing, and related activities","Year","Level",0,FAAt309ESI:4,NONE
e1n113f1ip00,"Forestry, fishing, and related activities","Year","Level",0,FAAt309I:4,NONE
e1n113f1st00,"Forestry, fishing, and related activities","Year","Level",0,FAAt309S:4,NONE
e1n21001eq00,"Mining","Year","Level",0,FAAt309E:5,NONE
e1n21001es00,"Mining","Year","Level",0,FAAt309ESI:5,NONE
e1n21001ip00,"Mining","Year","Level",0,FAAt309I:5,NONE
e1n21001st00,"Mining","Year","Level",0,FAAt309S:5,NONE
e1n21101eq00,"Oil and gas extraction","Year","Level",0,FAAt309E:6,NONE
e1n21101es00,"Oil and gas extraction","Year","Level",0,FAAt309ESI:6,NONE
e1n21101ip00,"Oil and gas extraction","Year","Level",0,FAAt309I:6,NONE
e1n21101st00,"Oil and gas extraction","Year","Level",0,FAAt309S:6,NONE
e1n21201eq00,"Mining, except oil and gas","Year","Level",0,FAAt309E:7,NONE
e1n21201es00,"Mining, except oil and gas","Year","Level",0,FAAt309ESI:7,NONE
e1n21201ip00,"Mining, except oil and gas","Year","Level",0,FAAt309I:7,NONE
e1n21201st00,"Mining, except oil and gas","Year","Level",0,FAAt309S:7,NONE
e1n21301eq00,"Support activities for mining","Year","Level",0,FAAt309E:8,NONE
e1n21301es00,"Support activities for mining","Year","Level",0,FAAt309ESI:8,NONE
e1n21301ip00,"Support activities for mining","Year","Level",0,FAAt309I:8,NONE
e1n21301st00,"Support activities for mining","Year","Level",0,FAAt309S:8,NONE
e1n22001eq00,"Utilities","Year","Level",0,FAAt309E:9,NONE
e1n22001es00,"Utilities","Year","Level",0,FAAt309ESI:9,NONE
e1n22001ip00,"Utilities","Year","Level",0,FAAt309I:9,NONE
e1n22001st00,"Utilities","Year","Level",0,FAAt309S:9,NONE
e1n22111eq00,"Electric power","Year","Level",0,FAAt309E:10,NONE
e1n22111es00,"Electric power","Year","Level",0,FAAt309ESI:10,NONE
e1n22111ip00,"Electric power","Year","Level",0,FAAt309I:10,NONE
e1n22111st00,"Electric power","Year","Level",0,FAAt309S:10,NONE
e1n22121eq00,"Natural gas distribution","Year","Level",0,FAAt309E:11,NONE
e1n22121es00,"Natural gas distribution","Year","Level",0,FAAt309ESI:11,NONE
e1n22121ip00,"Natural gas distribution","Year","Level",0,FAAt309I:11,NONE
e1n22121st00,"Natural gas distribution","Year","Level",0,FAAt309S:11,NONE
e1n22131eq00,"Water, sewage, and other systems","Year","Level",0,FAAt309E:12,NONE
e1n22131es00,"Water, sewage, and other systems","Year","Level",0,FAAt309ESI:12,NONE
e1n22131ip00,"Water, sewage, and other systems","Year","Level",0,FAAt309I:12,NONE
e1n22131st00,"Water, sewage, and other systems","Year","Level",0,FAAt309S:12,NONE
e1n23001eq00,"Construction","Year","Level",0,FAAt309E:13,NONE
e1n23001es00,"Construction","Year","Level",0,FAAt309ESI:13,NONE
e1n23001ip00,"Construction","Year","Level",0,FAAt309I:13,NONE
e1n23001st00,"Construction","Year","Level",0,FAAt309S:13,NONE
e1n31101eq00,"Food manufacturing","Year","Level",0,FAAt309E:31,NONE
e1n31101es00,"Food manufacturing","Year","Level",0,FAAt309ESI:31,NONE
e1n31101ip00,"Food manufacturing","Year","Level",0,FAAt309I:31,NONE
e1n31101st00,"Food manufacturing","Year","Level",0,FAAt309S:31,NONE
e1n311a1eq00,"Food and beverage and tobacco products","Year","Level",0,FAAt309E:30,NONE
e1n311a1es00,"Food and beverage and tobacco products","Year","Level",0,FAAt309ESI:30,NONE
e1n311a1ip00,"Food and beverage and tobacco products","Year","Level",0,FAAt309I:30,NONE
e1n311a1st00,"Food and beverage and tobacco products","Year","Level",0,FAAt309S:30,NONE
e1n31201eq00,"Beverage and tobacco product manufacturing","Year","Level",0,FAAt309E:32,NONE
e1n31201es00,"Beverage and tobacco product manufacturing","Year","Level",0,FAAt309ESI:32,NONE
e1n31201ip00,"Beverage and tobacco product manufacturing","Year","Level",0,FAAt309I:32,NONE
e1n31201st00,"Beverage and tobacco product manufacturing","Year","Level",0,FAAt309S:32,NONE
e1n313t1eq00,"Textile mills and textile product mills","Year","Level",0,FAAt309E:33,NONE
e1n313t1es00,"Textile mills and textile product mills","Year","Level",0,FAAt309ESI:33,NONE
e1n313t1ip00,"Textile mills and textile product mills","Year","Level",0,FAAt309I:33,NONE
e1n313t1st00,"Textile mills and textile product mills","Year","Level",0,FAAt309S:33,NONE
e1n315a1eq00,"Apparel and leather and allied products","Year","Level",0,FAAt309E:34,NONE
e1n315a1es00,"Apparel and leather and allied products","Year","Level",0,FAAt309ESI:34,NONE
e1n315a1ip00,"Apparel and leather and allied products","Year","Level",0,FAAt309I:34,NONE
e1n315a1st00,"Apparel and leather and allied products","Year","Level",0,FAAt309S:34,NONE
e1n31gd1eq00,"Equipment","Year","Level",0,FAAt309E:14|FAAt409:10,NONE
e1n31gd1es00,"Manufacturing","Year","Level",0,FAAt309ESI:14|FAAt409:9|FAAt609:12,NONE
e1n31gd1ip00,"Intellectual property products","Year","Level",0,FAAt309I:14|FAAt409:12,NONE
e1n31gd1st00,"Structures","Year","Level",0,FAAt309S:14|FAAt409:11,NONE
e1n31gd2eq00,"Equipment","Year","Level",0,FAAt409:26,NONE
e1n31gd2es00,"Manufacturing","Year","Level",0,FAAt409:25,NONE
e1n31gd2ip00,"Intellectual property products","Year","Level",0,FAAt409:28,NONE
e1n31gd2st00,"Structures","Year","Level",0,FAAt409:27,NONE
e1n31gd3eq00,"Equipment","Year","Level",0,FAAt409:50,NONE
e1n31gd3es00,"Manufacturing","Year","Level",0,FAAt409:49,NONE
e1n31gd3ip00,"Intellectual property products","Year","Level",0,FAAt409:52,NONE
e1n31gd3st00,"Structures","Year","Level",0,FAAt409:51,NONE
e1n31nd1eq00,"Nondurable goods","Year","Level",0,FAAt309E:29,NONE
e1n31nd1es00,"Nondurable goods","Year","Level",0,FAAt309ESI:29,NONE
e1n31nd1ip00,"Nondurable goods","Year","Level",0,FAAt309I:29,NONE
e1n31nd1st00,"Nondurable goods","Year","Level",0,FAAt309S:29,NONE
e1n32101eq00,"Wood products","Year","Level",0,FAAt309E:16,NONE
e1n32101es00,"Wood products","Year","Level",0,FAAt309ESI:16,NONE
e1n32101ip00,"Wood products","Year","Level",0,FAAt309I:16,NONE
e1n32101st00,"Wood products","Year","Level",0,FAAt309S:16,NONE
e1n32201eq00,"Paper products","Year","Level",0,FAAt309E:35,NONE
e1n32201es00,"Paper products","Year","Level",0,FAAt309ESI:35,NONE
e1n32201ip00,"Paper products","Year","Level",0,FAAt309I:35,NONE
e1n32201st00,"Paper products","Year","Level",0,FAAt309S:35,NONE
e1n32301eq00,"Printing and related support activities","Year","Level",0,FAAt309E:36,NONE
e1n32301es00,"Printing and related support activities","Year","Level",0,FAAt309ESI:36,NONE
e1n32301ip00,"Printing and related support activities","Year","Level",0,FAAt309I:36,NONE
e1n32301st00,"Printing and related support activities","Year","Level",0,FAAt309S:36,NONE
e1n32401eq00,"Petroleum and coal products","Year","Level",0,FAAt309E:37,NONE
e1n32401es00,"Petroleum and coal products","Year","Level",0,FAAt309ESI:37,NONE
e1n32401ip00,"Petroleum and coal products","Year","Level",0,FAAt309I:37,NONE
e1n32401st00,"Petroleum and coal products","Year","Level",0,FAAt309S:37,NONE
e1n32501eq00,"Chemical products","Year","Level",0,FAAt309E:38,NONE
e1n32501es00,"Chemical products","Year","Level",0,FAAt309ESI:38,NONE
e1n32501ip00,"Chemical products","Year","Level",0,FAAt309I:38,NONE
e1n32501st00,"Chemical products","Year","Level",0,FAAt309S:38,NONE
e1n32601eq00,"Plastics and rubber products","Year","Level",0,FAAt309E:39,NONE
e1n32601es00,"Plastics and rubber products","Year","Level",0,FAAt309ESI:39,NONE
e1n32601ip00,"Plastics and rubber products","Year","Level",0,FAAt309I:39,NONE
e1n32601st00,"Plastics and rubber products","Year","Level",0,FAAt309S:39,NONE
e1n32701eq00,"Nonmetallic mineral products","Year","Level",0,FAAt309E:17,NONE
e1n32701es00,"Nonmetallic mineral products","Year","Level",0,FAAt309ESI:17,NONE
e1n32701ip00,"Nonmetallic mineral products","Year","Level",0,FAAt309I:17,NONE
e1n32701st00,"Nonmetallic mineral products","Year","Level",0,FAAt309S:17,NONE
e1n33101eq00,"Primary metals","Year","Level",0,FAAt309E:18,NONE
e1n33101es00,"Primary metals","Year","Level",0,FAAt309ESI:18,NONE
e1n33101ip00,"Primary metals","Year","Level",0,FAAt309I:18,NONE
e1n33101st00,"Primary metals","Year","Level",0,FAAt309S:18,NONE
e1n33201eq00,"Fabricated metal products","Year","Level",0,FAAt309E:19,NONE
e1n33201es00,"Fabricated metal products","Year","Level",0,FAAt309ESI:19,NONE
e1n33201ip00,"Fabricated metal products","Year","Level",0,FAAt309I:19,NONE
e1n33201st00,"Fabricated metal products","Year","Level",0,FAAt309S:19,NONE
e1n33301eq00,"Machinery","Year","Level",0,FAAt309E:20,NONE
e1n33301es00,"Machinery","Year","Level",0,FAAt309ESI:20,NONE
