%SeriesCode,SeriesLabel,MetricName,CalculationType,DefaultScale,TableId:LineNo,SeriesCodeParents
C333,"Machinery manufacturing","Current Dollars","Level",-6,U50705BU1:9,N624RC
C334,"Computer and electronic product manufacturing","Current Dollars","Level",-6,U50705BU1:10,N624RC
C335,"Electrical equipment, appliance, and component manufacturing","Current Dollars","Level",-6,U50705BU1:11,N624RC
C336,"Transportation equipment manufacturing","Current Dollars","Level",-6,U50705BU1:12,N624RC
C336MV,"Motor vehicle and parts manufacturing","Current Dollars","Level",-6,U50705BU1:13,C336
C336OT,"Other transportation equipment manufacturing","Current Dollars","Level",-6,U50705BU1:14,C336
C337,"Furniture and related product manufacturing","Current Dollars","Level",-6,U50705BU1:15,N624RC
C339,"Miscellaneous durable goods manufacturing","Current Dollars","Level",-6,U50705BU1:16,N624RC
C362RA,"Command-basis net domestic product","Fisher Quantity Index","Level",0,T10803:11,NONE
C362RL,"Command-basis net domestic product","Fisher Quantity Index","Percent change, annual rate",0,T11701:13,NONE
C362RX,"Command-basis net domestic product","Chained Dollars","Level",-6,T10806:11|T11706:13,NONE
C4211,"Motor vehicles, parts, and supplies wholesalers","Current Dollars","Level",-6,U50705BU1:43,N626RC
C4212,"Furniture and home furnishings wholesalers","Current Dollars","Level",-6,U50705BU1:44,N626RC
C4213,"Lumber and other construction materials wholesalers","Current Dollars","Level",-6,U50705BU1:45,N626RC
C4214,"Professional and commercial equipment wholesalers","Current Dollars","Level",-6,U50705BU1:46,N626RC
C42143,"Computers and software wholesalers","Current Dollars","Level",-6,U50705BU1:47,C4214
C4214X,"Other professional and commercial equipment wholesalers","Current Dollars","Level",-6,U50705BU1:48,C4214
C4215,"Metal and mineral (except petroleum) wholesalers","Current Dollars","Level",-6,U50705BU1:49,N626RC
C4216,"Electrical goods wholesalers","Current Dollars","Level",-6,U50705BU1:50,N626RC
C4217,"Hardware and plumbing and heating equipment wholesalers","Current Dollars","Level",-6,U50705BU1:51,N626RC
C4218,"Machinery, equipment, and supplies wholesalers","Current Dollars","Level",-6,U50705BU1:52,N626RC
C4219,"Miscellaneous durable goods wholesalers","Current Dollars","Level",-6,U50705BU1:53,N626RC
C4221,"Paper and paper products wholesalers","Current Dollars","Level",-6,U50705BU1:55,N627RC
C4222,"Drugs and druggists' sundries wholesalers","Current Dollars","Level",-6,U50705BU1:56,N627RC
C4223,"Apparel, piece goods, and notions wholesalers","Current Dollars","Level",-6,U50705BU1:57,N627RC
C4224,"Grocery and related products wholesalers","Current Dollars","Level",-6,U50705BU1:58,N627RC
C4225,"Farm product raw material wholesalers","Current Dollars","Level",-6,U50705BU1:59,N627RC
C4226,"Chemical and allied products wholesalers","Current Dollars","Level",-6,U50705BU1:60,N627RC
C4227,"Petroleum and petroleum products wholesalers","Current Dollars","Level",-6,U50705BU1:61,N627RC
C4228,"Beer, wine, and distilled alcoholic beverages wholesalers","Current Dollars","Level",-6,U50705BU1:62,N627RC
C4229,"Miscellaneous nondurable goods wholesalers","Current Dollars","Level",-6,U50705BU1:63,N627RC
C42ND,"Durable goods industries","Current Dollars","Level",-6,U50705BM1:13|U50705BU1:65,N152RC
C42NN,"Nondurable goods industries","Current Dollars","Level",-6,U50705BM1:14|U50705BU1:66,N152RC
C4423,"Furniture, furnishings, electronics, and appliance stores","Current Dollars","Level",-6,U50705BU1:69,N153RC
C444,"Building material and garden equipment and supplies dealers","Current Dollars","Level",-6,U50705BU1:70,N153RC
C448,"Clothing and clothing accessories stores","Current Dollars","Level",-6,U50705BU1:72,N153RC
C44X,"Other retail stores","Current Dollars","Level",-6,U50705BU1:76,N153RC
C4521,"Department stores","Current Dollars","Level",-6,U50705BU1:74,N543RC
C4529,"Other general merchandise stores","Current Dollars","Level",-6,U50705BU1:75,N543RC
C570RC,"Service industry machinery","Current Dollars","Level",-6,T50505:30|U50505:40,A682RC
C570RL,"Service industry machinery","Fisher Quantity Index","Percent change, annual rate",0,T50501:30,NONE
C570RW,"Service industry machinery","Quantity Contributions","Level",0,T50502:30,NONE
C570RX,"Service industry machinery","Chained Dollars","Level",-6,T50506:30|U50506:40,NONE
C571RC,"Electric","Current Dollars","Level",-6,T50405:19|U50405:19,W028RC
C571RL,"Electric","Fisher Quantity Index","Percent change, annual rate",0,T50401:19,NONE
C571RW,"Electric","Quantity Contributions","Level",0,T50402:19,NONE
C571RX,"Electric","Chained Dollars","Level",-6,T50406:19|U50406:19,NONE
C624RX,"Durable goods","Chained Dollars","Level",-6,T50706A:5|U50706AM:3|U50706AU:3,NONE
C625RX,"Nondurable goods","Chained Dollars","Level",-6,T50706A:6|U50706AM:4|U50706AU:16,NONE
C626RX,"Durable goods","Chained Dollars","Level",-6,T50706A:11|U50706AM:9|U50706AU:40,NONE
C627RX,"Nondurable goods","Chained Dollars","Level",-6,T50706A:12|U50706AM:10|U50706AU:50,NONE
C628RX,"Durable goods","Chained Dollars","Level",-6,T50706A:14|U50706AM:12|U50706AU:61,NONE
C629RX,"Nondurable goods","Chained Dollars","Level",-6,T50706A:15|U50706AM:13|U50706AU:62,NONE
C630RX,"Durable goods","Chained Dollars","Level",-6,T50706A:17|U50706AM:15|U50706AU:64,NONE
C631RX,"Motor vehicle dealers","Chained Dollars","Level",-6,T50706A:18|U50706AM:16,NONE
C633RX,"Nondurable goods","Chained Dollars","Level",-6,T50706A:20|U50706AM:18|U50706AU:69,NONE
C636RX,"Durable goods","Chained Dollars","Level",-6,T50706A:22|U50706AM:20|U50706AU:76,NONE
C637RX,"Nondurable goods","Chained Dollars","Level",-6,T50706A:23|U50706AM:21|U50706AU:77,NONE
C645RA,"Plus: Income receipts from the rest of the world, command basis","Fisher Quantity Index","Level",0,T10803:8,NONE
C645RX,"Plus: Income receipts from the rest of the world, command basis","Chained Dollars","Level",-6,T10806:8,NONE
C655RA,"Less: Income payments to the rest of the world, command basis","Fisher Quantity Index","Level",0,T10803:9,NONE
C655RX,"Less: Income payments to the rest of the world, command basis","Chained Dollars","Level",-6,T10806:9,NONE
CB000004,"Industrial supplies and materials","Quantity Contributions","Level",0,T40202:28,NONE
CB000005,"Nondurable goods, excluding petroleum and products","Quantity Contributions","Level",0,T40202:8,NONE
CB000006,"Petroleum and products","Quantity Contributions","Level",0,T40202:7,NONE
CB000007,"Nondurable goods","Quantity Contributions","Level",0,T40202:30,NONE
CB001042,"Electricity and gas","Quantity Contributions","Level",0,T20402:57,NONE
